大类,序号,施工细项,单位,警示,避坑
六、安装配套,11,烟道止逆阀安装,个,吊顶前不装止逆阀，以后天天闻邻居炒菜香！,绝不容错过的节点：木工封板前，必须联系烟机厂家带高质量止逆阀和硬管上门预埋装好！
六、安装配套,12,卫浴排气止逆阀,个,防邻居厕所臭味倒灌，吊顶前也必装！,和厨房同理，安装在公共排气道孔洞处，接好换气扇波纹管再封吊顶。
六、安装配套,13,常规/智能马桶安装,个,角阀、法兰圈、防霉硅胶，谁提供？,厂家包安装最好。若自己找师傅装，必须自购高级防霉MS胶收边，用普通胶半年必发黑。
六、安装配套,14,壁挂马桶水箱预埋,套,装这个不能等后期，砌墙时就要埋进去！,必须在泥水工砌墙阶段由专业人员安装固定铁架及水箱，并做打压防漏测试。
六、安装配套,15,恒温花洒安装,套,[致命漏项]水管千万别做反！反了恒温花洒直接报废！,必须严格遵循“左热右冷”预埋水管！接反了恒温阀芯不出热水，改管要砸瓷砖。
六、安装配套,16,挂墙浴室柜安装,套,墙是空心砖？一按洗手台直接塌下来！,挂墙柜极重，必须安装在实体承重墙或红砖墙上。若是轻钢龙骨墙必须提前加固木板。
六、安装配套,17,五金挂件打孔安装,套,墙上打孔小心打爆水管！参照竣工图！,安装打膨胀螺丝必须拿出前期的“水电路隐蔽工程竣工照片”，避开管线走向。
六、安装配套,18,室内木门安装配合,樘,地面找平不达标，木门装上底下漏大缝隙！,装修公司需配合做好门洞修正找平，界定好谁负责门套和踢脚线的收口打胶。
六、安装配套,19,明装踢脚线安装费,m,网购不包安装，师傅按米收费也是一笔巨款。,提前议价通常几元到十几元一米。墙不直装踢脚线会有缝，需打胶修补。
六、安装配套,20,石材边缘打胶收口,m,石材和墙面交接有黑缝，必须打美容胶封死！,要求使用与石材同色或白色的防霉防开裂弹性胶进行打底收边。
六、安装配套,21,成品门窗防刮膜保护,㎡,刚装的好窗户被砸个坑？必须从头包到尾！,入户门、新换的断桥铝窗，开工第一天必须贴上加厚保护膜，直到保洁才能撕。
六、安装配套,22,地砖PVC硬质保护,㎡,地砖刚贴完，一定要用加厚PVC垫死死护住！,后期木工作业锤子螺丝刀掉地上极易砸碎瓷砖，换一块砖极其麻烦。必须验保护垫。
六、安装配套,23,甲醛第三方检测费,次,装修公司送的免费测甲醛？自己人测自己人？,不可信！建议业主花几百块请独立的带有“CMA认证”的第三方实验室上门采集空气样本。
六、安装配套,24,材料搬运费(电梯),项,有电梯搬运辅料进屋也要收一次钱？,将几吨水泥黄沙板材从楼下拖进电梯搬入户内的人工费，需明确包含在总造价内。
六、安装配套,25,无电梯步梯搬运费,吨·层,步梯房搬运费水最深！人工背上楼极其昂贵！,按吨按楼层累加收费，必须要求在合同写死“全屋所有辅料上楼包干一口价”。
六、安装配套,26,岩板吊车破窗入户费,次,大板进不去电梯也拐不上楼梯！只能请吊车！,极易被忽略的巨额开支。大块岩板只能拆窗户用吊车从阳台吊入，需提前预估吊车费。
六、安装配套,27,装修开荒保洁(粗保),㎡,确认是“粗保洁”还是“精保洁”！,粗保只清走建渣大垃圾；精保要擦掉玻璃漆点、水泥印。明确装修公司做到哪一步。
六、安装配套,28,深度保洁(可入住),㎡,花一两千请专业家政做“无死角深度开荒”。,装修队保洁极糙。建议自己另外花钱请带大型吸尘除胶设备的专业团队打扫。
六、安装配套,29,装修工程管理费,%,管理费是装修公司纯利润，放心大胆砍价！,通常按半包总价的5%-10%收取，名义上是工长监理费，实际可以与销售砍到更低甚至免除。
六、安装配套,30,税金及发票费,%,不要发票能省钱吗？保修认不认？,若不需要正规税务局发票（有公司盖章收据和合同即可作保修凭证），通常可免除3.4%税金。
六、安装配套,31,远程偏远施工补贴,项,超出接单核心区，工长会收交通路费补贴。,若房源偏远，这笔费用不可避免，但需在前期合同中定额包干，防后期师傅天天要油钱。
